"","x"
"1","she"
"2","minutes"
"3","said"
"4","asked"
"5","told"
"6","her"
"7","NOTback"
"8","bad"
"9","manager"
"10","NOTour"
"11","worst"
"12","NOTagain"
"13","left"
"14","horrible"
"15","terrible"
"16","waited"
"17","cold"
"18","rude"
"19","NOTno"
"20","waiting"
"21","him"
"22","disappointed"
"23","called"
"24","later"
"25","money"
"26","bill"
"27","NOTshe"
"28","wrong"
"29","ok"
"30","NOThe"
"31","dry"
"32","bland"
"33","poor"
"34","NOTher"
"35","awful"
"36","NOTworth"
"37","empty"
"38","hostess"
"39","paid"
"40","NOTcame"
"41","completely"
"42","sorry"
"43","NOTrecommend"
"44","NOTmoney"
"45","dirty"
"46","okay"
"47","phone"
"48","NOTasked"
"49","received"
"50","NOTthen"
"51","disgusting"
"52","disappointing"
"53","NOTcustomer"
"54","NOTsaid"
"55","NOTnever"
"56","worse"
"57","NOTreturn"
"58","NOTminutes"
"59","mediocre"
"60","mins"
"61","says"
"62","management"
"63","charge"
"64","decent"
"65","overpriced"
"66","NOTcustomers"
"67","min"
"68","gross"
"69","NOTbusiness"
"70","NOTcoming"
"71","attitude"
"72","unfortunately"
"73","charged"
"74","sad"
"75","frozen"
"76","average"
"77","NOTmanager"
"78","NOThis"
"79","NOTleft"
"80","tasteless"
"81","soggy"
"82","understand"
"83","NOTtold"
"84","cashier"
"85","NOTanyone"
"86","NOTwater"
"87","avoid"
"88","NOTshould"
"89","NOTserver"
"90","happened"
"91","clearly"
"92","NOTwaste"
"93","barely"
"94","nothing"
"95","sent"
"96","disappointment"
"97","mistake"
"98","NOTpay"
"99","ridiculous"
"100","NOThim"
"101","asking"
"102","waste"
"103","supposed"
"104","placed"
"105","showed"
"106","sick"
"107","burnt"
"108","forever"
"109","NOTspecial"
"110","recommend"
"111","employee"
"112","hair"
"113","nasty"
"114","NOTreturning"
"115","overcooked"
"116","NOTcare"
"117","NOTbill"
"118","NOTnothing"
"119","amazing"
"120","credit"
"121","sucks"
"122","needless"
"123","delicious"
"124","woman"
"125","joke"
"126","NOTworst"
"127","NOTcold"
"128","NOTunderstand"
"129","shame"
"130","mess"
"131","NOTtip"
"132","NOTbother"
"133","NOTwaitress"
"134","OK"
"135","elsewhere"
"136","NOTcall"
"137","ignored"
"138","upset"
"139","proceeded"
"140","informed"
"141","NOTanymore"
"142","standing"
"143","NOTrude"
"144","zero"
"145","flavorless"
"146","refund"
"147","threw"
"148","poisoning"
"149","refused"
"150","stale"
"151","spoke"
"152","register"
"153","complained"
