"","x"
"1","but"
"2","she"
"3","he"
"4","after"
"5","minutes"
"6","good"
"7","said"
"8","then"
"9","asked"
"10","over"
"11","NOTwe"
"12","told"
"13","NOTfood"
"14","table"
"15","her"
"16","NOTnot"
"17","NOTback"
"18","took"
"19","bad"
"20","manager"
"21","waitress"
"22","NOTour"
"23","worst"
"24","another"
"25","ever"
"26","better"
"27","NOTagain"
"28","NOTgood"
"29","left"
"30","great"
"31","horrible"
"32","terrible"
"33","waited"
"34","wanted"
"35","cold"
"36","not"
"37","finally"
"38","waiter"
"39","rude"
"40","customer"
"41","why"
"42","NOTno"
"43","NOTany"
"44","tasted"
"45","waiting"
"46","NOTtime"
"47","NOTservice"
"48","him"
"49","looked"
"50","disappointed"
"51","called"
"52","nice"
"53","walked"
"54","later"
"55","NOTeat"
"56","same"
"57","little"
"58","NOTthem"
"59","ask"
"60","pretty"
"61","money"
"62","bill"
"63","gave"
"64","sat"
"65","NOTshe"
"66","NOTcome"
"67","seated"
"68","water"
"69","best"
"70","brought"
"71","no"
"72","maybe"
"73","put"
"74","wrong"
"75","always"
"76","ok"
"77","arrived"
"78","NOTwant"
"79","NOThe"
"80","tell"
"81","however"
"82","someone"
"83","dry"
"84","NOTever"
"85","bland"
"86","business"
"87","NOTgive"
"88","least"
"89","NOTmake"
"90","else"
"91","pay"
"92","instead"
"93","let"
"94","customers"
"95","poor"
"96","though"
"97","NOTher"
"98","awful"
"99","person"
"100","guy"
"101","owner"
"102","kitchen"
"103","slow"
"104","seemed"
"105","NOTworth"
"106","empty"
"107","definitely"
"108","call"
"109","NOTafter"
"110","NOTtable"
"111","NOTtaste"
"112","didn't"
"113","probably"
"114","NOTbad"
"115","NOTtake"
"116","orders"
"117","saw"
"118","hostess"
"119","paid"
"120","NOTmuch"
"121","sitting"
"122","NOTcame"
"123","NOTdid"
"124","NOTanything"
"125","completely"
"126","sorry"
"127","guess"
"128","love"
"129","felt"
"130","NOTreally"
"131","NOTrecommend"
"132","leave"
"133","NOTway"
"134","dirty"
"135","NOTbetter"
"136","okay"
"137","NOTasked"
"138","NOTover"
"139","received"
"140","absolutely"
"141","NOTthen"
"142","literally"
"143","girl"
"144","fine"
"145","lady"
"146","bartender"
"147","until"
"148","disappointing"
"149","NOTdidn't"
"150","bit"
"151","NOTminutes"
"152","counter"
"153","mediocre"
"154","NOTthink"
"155","NOTsee"
"156","NOTgreat"
"157","NOTexperience"
"158","tip"
"159","NOTcould"
"160","NOTflavor"
"161","delivery"
"162","charge"
"163","NOTeither"
"164","NOTright"
"165","NOTdon't"
"166","decent"
"167","behind"
"168","problem"
"169","quite"
"170","overpriced"
"171","NOTwait"
"172","seriously"
"173","please"
"174","NOTbusy"
"175","NOTmade"
"176","NOTask"
"177","given"
"178","piece"
"179","NOTenough"
"180","expensive"
"181","stay"
"182","NOTanother"
"183","super"
"184","store"
"185","happy"
"186","unfortunately"
"187","overall"
"188","NOTdrink"
"189","noticed"
"190","NOTknow"
"191","gone"
"192","stars"
"193","NOTfresh"
"194","average"
"195","NOTelse"
"196","cook"
"197","friendly"
"198","NOTsomething"
"199","fresh"
"200","greasy"
"201","needs"
"202","expect"
"203","salty"
"204","seems"
"205","excited"
"206","ã"
"207","atmosphere"
"208","NOTprice"
"209","spicy"
"210","tiny"
"211","NOTquality"
"212","NOTspecial"
"213","giving"
"214","recommend"
"215","although"
"216","amazing"
"217","portion"
"218","worth"
"219","delicious"
"220","OK"
"221","quick"
"222","loud"
"223","options"
"224","expected"
"225","NOTthough"
"226","decor"
"227","selection"
"228","chocolate"
"229","itself"
"230","favorite"
"231","parking"
"232","spot"
"233","NOTimpressed"
"234","tasty"
"235","style"
"236","cool"
"237","seating"
"238","NOTlittle"
"239","enjoyed"
"240","awesome"
"241","liked"
"242","excellent"
"243","brunch"
"244","lots"
"245","fun"
"246","NOTfan"
"247","hit"
"248","ramen"
"249","attentive"
"250","ambiance"
"251","loved"
"252","soft"
"253","crispy"
"254","variety"
"255","pricey"
"256","plenty"
"257","flavors"
"258","sometimes"
"259","can't"
"260","beautiful"
"261","light"
"262","authentic"
"263","perfect"
"264","located"
"265","choose"
"266","reasonable"
"267","option"
"268","perfectly"
"269","yummy"
"270","specials"
"271","tender"
"272","often"
"273","fantastic"
"274","flavorful"
"275","wonderful"
"276","helpful"
"277","highly"
